ts,run_id,schema_version,chain,token_address,token_symbol,source,verified,honeypot,buy_tax,sell_tax,can_mint,can_blacklist,can_pause,is_proxy,owner_renounced,lp_locked_or_burned,hard_reject,reject_reason,token_name,goplus_queried,honeypot_queried,decision,reject_reasons
2026-06-21T10:35:22.847Z,87d52a3b-b0c5-41fd-8526-7f93d39d26a1,1.0.0,base,0x9dbe903c201e94bc4ebb23dc905a100e86c1cb07,DAD,goplus,true,false,,,false,false,false,false,false,,false,,Happy Father's Day,true,false,CONTRACT_SAFE,
2026-06-21T10:41:21.285Z,89b89be3-6bcb-42c3-8106-6a50383d2c84,1.0.0,base,0x567b16c36ff87fa599b2fa421a9b619db00ea76f,PEAK,goplus,true,false,,,false,false,false,false,false,,false,,PEAK,true,false,CONTRACT_SAFE,
2026-06-21T10:43:21.272Z,5d044f3e-74d8-4ae2-9bd6-b2b8ab5b3f6d,1.0.0,base,0x88319e096de161329857ec69f9e79e08257a5ba3,ZEPHYR,goplus,true,false,,,false,false,false,false,false,,false,,Zephyr Cloud,true,false,CONTRACT_SAFE,
2026-06-21T10:47:21.419Z,e505dc06-6f7c-426b-86cd-78077e716abd,1.0.0,base,0xe75d7dcb9788ce8a8745e3ca2cbd9fca0bb456b4,Zephyr,goplus,false,false,,,,,,,,,false,,Zephyr Cloud,true,true,CONTRACT_SAFE,
2026-06-21T10:47:23.137Z,e505dc06-6f7c-426b-86cd-78077e716abd,1.0.0,base,0xb576134516c9c6a43b6ba063e46655fb4f997777,dad,goplus,true,false,,,false,false,false,false,false,,false,,"are you winning, dad?",true,false,CONTRACT_SAFE,
2026-06-21T10:49:21.708Z,0b7eae2e-a7bd-44e4-adba-1acc74b5ee7d,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,goplus,true,false,,,false,false,false,false,,false,false,,OpenLayer,true,false,CONTRACT_SAFE,
2026-06-21T10:51:21.191Z,726453bc-fd8c-4ffb-af8b-f3c40f546f88,1.0.0,base,0x7707625fed04b5f3b8f979c18185b1dbdc728535,MRBASE,goplus,true,false,,,false,false,false,false,,,false,,MR. Base,true,true,CONTRACT_SAFE,
2026-06-21T10:53:20.970Z,50a204e9-b23b-47f0-8ee3-015304bb657f,1.0.0,base,0x09c0dd8c49d7cb11be4fb0cf16022f9028325200,PALM,goplus,true,false,,,false,false,false,false,false,,false,,Palmar,true,true,CONTRACT_SAFE,
2026-06-21T10:53:22.894Z,50a204e9-b23b-47f0-8ee3-015304bb657f,1.0.0,base,0xe40be600c806d8713bc68a429ba886398d9f48ff,MORV,goplus,true,false,,,false,false,false,false,false,,false,,Morv Labs,true,true,CONTRACT_SAFE,
2026-06-21T10:53:24.893Z,50a204e9-b23b-47f0-8ee3-015304bb657f,1.0.0,base,0xb26251b5bf1775b1fd2354f50faddcb8dad08747,KSKD,goplus,false,false,,,,,,,,,false,,Kaskad,true,true,CONTRACT_SAFE,
