ts,run_id,schema_version,chain,token_address,token_symbol,token_name,pool_address,dex,quote_asset,price_usd,liquidity_usd,fdv_usd,vol_5m,vol_1h,vol_6h,vol_24h,buys_1h,sells_1h,pool_created_at,source,risk_decision
2026-06-21T09:57:20.483Z,5532d850-8328-4d2b-8893-55317c09a51d,1.0.0,base,0xa9e0f7de1043ca13aacdde5f958783b73da8db07,Father,Motherfucker,0x215740a47c50c93f85c0bd0ca385071387926dcbfe67a7dfd0192f3bef5f86e2,Uniswap V4 (Base),WETH,0.00000660989370100868,28386.8512,700194.5349,15598.174463206,94133.4064302692,94133.4064302692,94133.4064302692,218,207,2026-06-21T09:46:35.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T09:57:20.680Z,5532d850-8328-4d2b-8893-55317c09a51d,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,OpenLayer,0xd7d307a281d52bac73bbc4aca9f05cc5539a62acca3d9bab79468e4d0fa6ea43,uniswap,WETH,4.599e-7,37436.77,45995,42441.14,419722.98,1042655.87,1042655.87,639,574,2026-06-21T07:27:21.000Z,dexscreener,CONTRACT_SAFE
2026-06-21T09:59:20.804Z,01a1049d-cdf2-4d1e-8991-d60095fa0f6b,1.0.0,base,0xec39fb91b9cb89500b276722390b1c21a8e52ba3,fyp,feelyourprotocol,0x2befaba47a3a8cdda65c7797c017d13f4df0330e387543c1e5c628c74b8a8469,Uniswap V4 (Base),WETH,0.00000541452029174587,23826.3453,571851.2922,37626.5942370815,56600.4684391595,56600.4684391595,56600.4684391595,147,143,2026-06-21T09:52:05.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T09:59:20.869Z,01a1049d-cdf2-4d1e-8991-d60095fa0f6b,1.0.0,base,0xcbbb4c3a91cf7fac8d30f3545d6fc6a2dea75b10,Forever,Forever Coin,0x0d2428d454a94e6061aa53fa8077bf52c621743f,Uniswap V2 (Base),WETH,0.00000655817789910595,56713.3153,30823.4361253,1467.720665,2390.4721050745,2390.4721050745,2390.4721050745,15,0,2026-06-21T09:51:51.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T09:59:22.696Z,01a1049d-cdf2-4d1e-8991-d60095fa0f6b,1.0.0,base,0x8d25bf20a126b3fd52e1d23c1f31842ece2c7777,Jotchua,Jotchua,0xa35818f043775024fe75bcf0b5e70371d0a7c72675f5d11fea0ae51fba17028f,Uniswap V4 (Base),WETH,0.00000145654234920605,31752.477,143159.0414,20873.1825457787,39971.2807521129,39971.2807521129,39971.2807521129,179,151,2026-06-21T09:51:31.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T09:59:22.739Z,01a1049d-cdf2-4d1e-8991-d60095fa0f6b,1.0.0,base,0xa9e0f7de1043ca13aacdde5f958783b73da8db07,Father,Motherfucker,0x215740a47c50c93f85c0bd0ca385071387926dcbfe67a7dfd0192f3bef5f86e2,Uniswap V4 (Base),WETH,0.00000719730308663149,26250.3346,641832.0711,46327.15922533,124862.391192393,124862.391192393,124862.391192393,272,264,2026-06-21T09:46:35.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T09:59:22.944Z,01a1049d-cdf2-4d1e-8991-d60095fa0f6b,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,OpenLayer,0xd7d307a281d52bac73bbc4aca9f05cc5539a62acca3d9bab79468e4d0fa6ea43,uniswap,WETH,4.658e-7,37680.02,46584,32477.75,416961.59,1053067.2,1053067.2,639,571,2026-06-21T07:27:21.000Z,dexscreener,CONTRACT_SAFE
2026-06-21T10:01:20.459Z,ecb92781-83cb-411d-bfe8-3374ea9c453b,1.0.0,base,0xec39fb91b9cb89500b276722390b1c21a8e52ba3,fyp,feelyourprotocol,0x2befaba47a3a8cdda65c7797c017d13f4df0330e387543c1e5c628c74b8a8469,Uniswap V4 (Base),WETH,0.00000621613872373317,23430.7028,509936.6805,51428.0959099975,70401.9701120755,70401.9701120755,70401.9701120755,174,170,2026-06-21T09:52:05.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:01:20.515Z,ecb92781-83cb-411d-bfe8-3374ea9c453b,1.0.0,base,0xcbbb4c3a91cf7fac8d30f3545d6fc6a2dea75b10,Forever,Forever Coin,0x0d2428d454a94e6061aa53fa8077bf52c621743f,Uniswap V2 (Base),WETH,0.00000674705583180575,57192.1135,31388.3982811,1706.9875806185,2629.739020693,2629.739020693,2629.739020693,16,1,2026-06-21T09:51:51.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:01:20.571Z,ecb92781-83cb-411d-bfe8-3374ea9c453b,1.0.0,base,0x8d25bf20a126b3fd52e1d23c1f31842ece2c7777,Jotchua,Jotchua,0xa35818f043775024fe75bcf0b5e70371d0a7c72675f5d11fea0ae51fba17028f,Uniswap V4 (Base),WETH,0.0000013745035889436,33471.6436,143660.4799,24783.7860702876,43881.8842766218,43881.8842766218,43881.8842766218,205,172,2026-06-21T09:51:31.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:01:20.640Z,ecb92781-83cb-411d-bfe8-3374ea9c453b,1.0.0,base,0xa9e0f7de1043ca13aacdde5f958783b73da8db07,Father,Motherfucker,0x215740a47c50c93f85c0bd0ca385071387926dcbfe67a7dfd0192f3bef5f86e2,Uniswap V4 (Base),WETH,0.00000555851814023514,25237.3788,601689.4049,61361.398107113,139896.630074176,139896.630074176,139896.630074176,299,295,2026-06-21T09:46:35.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:01:20.969Z,ecb92781-83cb-411d-bfe8-3374ea9c453b,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,OpenLayer,0xd7d307a281d52bac73bbc4aca9f05cc5539a62acca3d9bab79468e4d0fa6ea43,uniswap,WETH,6.21e-7,45288.59,62106,18152.8,412840.26,1062852.6,1062852.6,632,564,2026-06-21T07:27:21.000Z,dexscreener,CONTRACT_SAFE
2026-06-21T10:03:20.489Z,6d62ae59-cf6c-4fe4-b0a8-7863b13b84e9,1.0.0,base,0xec39fb91b9cb89500b276722390b1c21a8e52ba3,fyp,feelyourprotocol,0x2befaba47a3a8cdda65c7797c017d13f4df0330e387543c1e5c628c74b8a8469,Uniswap V4 (Base),WETH,0.00000538897934340898,26984.2448,680955.4323,32572.3961190939,99862.144489873,99862.144489873,99862.144489873,220,225,2026-06-21T09:52:05.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:03:20.568Z,6d62ae59-cf6c-4fe4-b0a8-7863b13b84e9,1.0.0,base,0xcbbb4c3a91cf7fac8d30f3545d6fc6a2dea75b10,Forever,Forever Coin,0x0d2428d454a94e6061aa53fa8077bf52c621743f,Uniswap V2 (Base),WETH,0.00000708615555417324,58662.4729,33066.4076736,742.671169,3372.410189693,3372.410189693,3372.410189693,21,1,2026-06-21T09:51:51.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:03:20.632Z,6d62ae59-cf6c-4fe4-b0a8-7863b13b84e9,1.0.0,base,0x8d25bf20a126b3fd52e1d23c1f31842ece2c7777,Jotchua,Jotchua,0xa35818f043775024fe75bcf0b5e70371d0a7c72675f5d11fea0ae51fba17028f,Uniswap V4 (Base),WETH,0.00000167758320892162,33074.7622,146499.1297,17151.3767206286,61982.3328362365,61982.3328362365,61982.3328362365,266,227,2026-06-21T09:51:31.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:03:20.723Z,6d62ae59-cf6c-4fe4-b0a8-7863b13b84e9,1.0.0,base,0xa9e0f7de1043ca13aacdde5f958783b73da8db07,Father,Motherfucker,0x215740a47c50c93f85c0bd0ca385071387926dcbfe67a7dfd0192f3bef5f86e2,Uniswap V4 (Base),WETH,0.00000656062465182564,24693.3844,601322.198,33239.2880431112,169853.192122324,169853.192122324,169853.192122324,344,344,2026-06-21T09:46:35.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:03:21.712Z,6d62ae59-cf6c-4fe4-b0a8-7863b13b84e9,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,OpenLayer,0xd7d307a281d52bac73bbc4aca9f05cc5539a62acca3d9bab79468e4d0fa6ea43,uniswap,WETH,6.417e-7,46273.15,64172,18307.48,414427.73,1073082.26,1073082.26,635,566,2026-06-21T07:27:21.000Z,dexscreener,CONTRACT_SAFE
2026-06-21T10:05:20.582Z,bc58d611-c862-4c37-bef9-003a4c088f47,1.0.0,base,0xec39fb91b9cb89500b276722390b1c21a8e52ba3,fyp,feelyourprotocol,0x2befaba47a3a8cdda65c7797c017d13f4df0330e387543c1e5c628c74b8a8469,Uniswap V4 (Base),WETH,0.00000718265083573179,26816.4778,833615.1286,53359.4333293595,120649.181700139,120649.181700139,120649.181700139,262,269,2026-06-21T09:52:05.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:05:20.634Z,bc58d611-c862-4c37-bef9-003a4c088f47,1.0.0,base,0xcbbb4c3a91cf7fac8d30f3545d6fc6a2dea75b10,Forever,Forever Coin,0x0d2428d454a94e6061aa53fa8077bf52c621743f,Uniswap V2 (Base),WETH,0.00000727874684567859,59668.3217,34210.1101762,1246.567909,3876.306929693,3876.306929693,3876.306929693,25,1,2026-06-21T09:51:51.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:05:20.689Z,bc58d611-c862-4c37-bef9-003a4c088f47,1.0.0,base,0x8d25bf20a126b3fd52e1d23c1f31842ece2c7777,Jotchua,Jotchua,0xa35818f043775024fe75bcf0b5e70371d0a7c72675f5d11fea0ae51fba17028f,Uniswap V4 (Base),WETH,0.00000174982526306193,37478.484,174982.5263,29355.1657098623,74186.1218254702,74186.1218254702,74186.1218254702,308,264,2026-06-21T09:51:31.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:05:20.733Z,bc58d611-c862-4c37-bef9-003a4c088f47,1.0.0,base,0xa9e0f7de1043ca13aacdde5f958783b73da8db07,Father,Motherfucker,0x215740a47c50c93f85c0bd0ca385071387926dcbfe67a7dfd0192f3bef5f86e2,Uniswap V4 (Base),WETH,0.00000712918901038383,28863.9977,729377.8862,53914.2031566644,190528.107235878,190528.107235878,190528.107235878,387,394,2026-06-21T09:46:35.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:05:21.004Z,bc58d611-c862-4c37-bef9-003a4c088f47,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,OpenLayer,0xd7d307a281d52bac73bbc4aca9f05cc5539a62acca3d9bab79468e4d0fa6ea43,uniswap,WETH,6.595e-7,47064.88,65950,20406.18,415645.55,1079792.43,1079792.43,640,576,2026-06-21T07:27:21.000Z,dexscreener,CONTRACT_SAFE
2026-06-21T10:07:20.663Z,9d210726-29ef-43c4-b59b-f85e38041299,1.0.0,base,0xec39fb91b9cb89500b276722390b1c21a8e52ba3,fyp,feelyourprotocol,0x2befaba47a3a8cdda65c7797c017d13f4df0330e387543c1e5c628c74b8a8469,Uniswap V4 (Base),WETH,0.00000745909849437653,29954.7817,603091.5368,66624.8436730479,133914.592043827,133914.592043827,133914.592043827,284,298,2026-06-21T09:52:05.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:07:20.733Z,9d210726-29ef-43c4-b59b-f85e38041299,1.0.0,base,0xcbbb4c3a91cf7fac8d30f3545d6fc6a2dea75b10,Forever,Forever Coin,0x0d2428d454a94e6061aa53fa8077bf52c621743f,Uniswap V2 (Base),WETH,0.00000747354587821893,60173.6317,34758.9991733,1501.302138,4131.041158693,4131.041158693,4131.041158693,27,1,2026-06-21T09:51:51.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:07:20.875Z,9d210726-29ef-43c4-b59b-f85e38041299,1.0.0,base,0x8d25bf20a126b3fd52e1d23c1f31842ece2c7777,Jotchua,Jotchua,0xa35818f043775024fe75bcf0b5e70371d0a7c72675f5d11fea0ae51fba17028f,Uniswap V4 (Base),WETH,0.00000174982526306193,37478.484,174982.5263,29355.1657098623,74186.1218254702,74186.1218254702,74186.1218254702,308,264,2026-06-21T09:51:31.000Z,geckoterminal,CONTRACT_SAFE
2026-06-21T10:07:21.096Z,9d210726-29ef-43c4-b59b-f85e38041299,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,OpenLayer,0xd7d307a281d52bac73bbc4aca9f05cc5539a62acca3d9bab79468e4d0fa6ea43,uniswap,WETH,8.136e-7,53578.19,81367,16862.54,410205.85,1087716.31,1087716.31,641,573,2026-06-21T07:27:21.000Z,dexscreener,CONTRACT_SAFE
2026-06-21T10:09:20.375Z,91a11f74-36df-45c8-90e7-f98db214d12a,1.0.0,base,0xec39fb91b9cb89500b276722390b1c21a8e52ba3,fyp,feelyourprotocol,0x2befaba47a3a8cdda65c7797c017d13f4df0330e387543c1e5c628c74b8a8469,Uniswap V4 (Base),WETH,0.0000062546400245323,26100.0612,761720.8108,37059.6340915104,162054.179285443,162054.179285443,162054.179285443,337,357,2026-06-21T09:52:05.000Z,geckoterminal,CONTRACT_SAFE
