ts,run_id,schema_version,chain,token_address,pool_address,price_usd,liquidity_usd,fdv_usd,vol_5m,vol_1h,vol_6h,vol_24h,buys_1h,sells_1h,source
2026-06-21T13:47:03.640Z,9caef0bf-323b-4b1e-b9a6-440f4208df6b,1.0.0,ethereum,0xe66a55130eab517e4f1e367381ab68554145b5e9,0xe2c5423efd164826903ebc965589c815de1b2085,0.00586447254966462,14712643.7133,29513814.602362,0,0.1564677938,0.1564677938,0.1564677938,1,0,geckoterminal
2026-06-21T13:47:03.765Z,9caef0bf-323b-4b1e-b9a6-440f4208df6b,1.0.0,base,0x4ab642927e0059ecff629d45ab6f7a438cdc0448,0xeddbf536b93e281ca9c1a20204f100ccc12e4b385b1cf677a3e5a5e5ee6ea28f,0.000024156903332132,16754.3677,23270.22994,3723.8770892136,18963.7597172226,18963.7597172226,18963.7597172226,39,12,geckoterminal
2026-06-21T13:47:03.776Z,9caef0bf-323b-4b1e-b9a6-440f4208df6b,1.0.0,base,0x210192d9dcbd093567f3705db75b802ed0b44ba3,0x7732540122a893d5455cf798892792e4a52851d9db66597fb421a2b016ba447c,3.39066966645119e-7,32105.2101,33906.69666,1445.3768984787,6417.5272429966,6417.5272429966,6417.5272429966,27,27,geckoterminal
2026-06-21T13:47:03.788Z,9caef0bf-323b-4b1e-b9a6-440f4208df6b,1.0.0,base,0xab2f62ae7563e5c6dda70f9ba37a007d836aed8a,0xd37e9a72eb2cfd5c6ea13603dd6223442e48dc0c7a3d051cc35371d20e8e725b,3.81209511748288e-7,31938.5507,38789.67628,19443.3139980772,26595.0290945541,26595.0290945541,26595.0290945541,132,113,geckoterminal
2026-06-21T13:47:03.800Z,9caef0bf-323b-4b1e-b9a6-440f4208df6b,1.0.0,base,0x5a1e9d868f387032eccc5b36bf5d1ad7d98b2ba3,0x0b544b79cbedadd3792de93db290204a1bfa358860d11d28104f5a6ecf022a2c,4.40085226619992e-7,38357.5744,42443.7124,2724.0944160108,41838.2890642671,41838.2890642671,41838.2890642671,120,186,geckoterminal
2026-06-21T13:47:03.812Z,9caef0bf-323b-4b1e-b9a6-440f4208df6b,1.0.0,base,0x5508fb891e2369161ef3332c8c94a903d3257777,0x40c494caea61801defd3444dbc1f197aae8bad123c092b02a20255b1dd8a02a5,0.00000172663448763936,34745.6824,172949.1033,8818.2528357453,80182.1989626481,80182.1989626481,80182.1989626481,289,239,geckoterminal
2026-06-21T13:47:03.824Z,9caef0bf-323b-4b1e-b9a6-440f4208df6b,1.0.0,base,0x40e8ceb8123948d9d92f41c2e218b075f7f021aa,0x5002ab1e4589d05c2570eecc68d92231891559645d4e4f475aa2155003da445d,0.0000393399073163205,25699.6545,47207.888784,8651.7296050049,24698.0507827071,24698.0507827071,24698.0507827071,67,18,geckoterminal
2026-06-21T13:47:03.839Z,9caef0bf-323b-4b1e-b9a6-440f4208df6b,1.0.0,base,0xad234eb14f55e6a456eb1a096b0927956eafeba3,0x34068dc111123f9c053b8b313c96d8f980d7bd8ea7fbc0774ba8144a9fd18cd7,3.80763870741122e-7,33166.8025,36602.76923,2649.8105689816,49570.5045410261,49570.5045410261,49570.5045410261,137,114,geckoterminal
2026-06-21T13:47:05.658Z,9caef0bf-323b-4b1e-b9a6-440f4208df6b,1.0.0,base,0x214926b10ef68cc2ecda051af313e49ee971dba3,0x499914b8e30c9e38c01d5a0394faf4022e4ac587de4ad13505db90398bac763e,5.227e-7,42878.05,52271,17575.88,139133.24,139133.24,139133.24,610,415,dexscreener
2026-06-21T13:51:17.649Z,3171b33a-5677-47f6-b8d4-a1d98653bad5,1.0.0,ethereum,0x15a991de041397b0d4aa25e8728f3a2e04f3a721,0xcaf1f1d335df31cb4bb9a3d38ded2f1a44069084,0.229230887489746,11422148.0504,22913034.6832743,0,0.1703826395,0.1703826395,0.1703826395,1,0,geckoterminal
2026-06-21T13:51:17.669Z,3171b33a-5677-47f6-b8d4-a1d98653bad5,1.0.0,ethereum,0x582cfc74937c41eec5f7d5038f976ae7ff156539,0x8bafc39999cadf73f26614898c2cd3109f4249c8,0.0247503695274867,11681573.4646,23433432.7112617,0,0.1728678831,0.1728678831,0.1728678831,1,0,geckoterminal
2026-06-21T13:51:17.682Z,3171b33a-5677-47f6-b8d4-a1d98653bad5,1.0.0,ethereum,0x1c7bfde6ecf29a056dce861bb280263d05962cbf,0x743b108ffbaf6a5304b520bbd467e03a0739e101,0.0499391527704265,11688021.2444,23446366.855164,0,0.1690904637,0.1690904637,0.1690904637,1,0,geckoterminal
2026-06-21T13:51:19.684Z,3171b33a-5677-47f6-b8d4-a1d98653bad5,1.0.0,base,0x96a9a03ece8b6c10421f62893f12c069970eb2c3,0x8640513299851da7e9d6b874ab07a35de5acd386,0.00000424783923020165,53914.4592,28035.738918,295.180621,1140.7415429678,1140.7415429678,1140.7415429678,9,0,geckoterminal
2026-06-21T13:51:19.698Z,3171b33a-5677-47f6-b8d4-a1d98653bad5,1.0.0,base,0x4ab642927e0059ecff629d45ab6f7a438cdc0448,0xeddbf536b93e281ca9c1a20204f100ccc12e4b385b1cf677a3e5a5e5ee6ea28f,0.0000380463677947318,18836.1721,31891.85933,10437.0850135119,25676.9676415209,25676.9676415209,25676.9676415209,67,21,geckoterminal
2026-06-21T13:51:19.710Z,3171b33a-5677-47f6-b8d4-a1d98653bad5,1.0.0,base,0x210192d9dcbd093567f3705db75b802ed0b44ba3,0x7732540122a893d5455cf798892792e4a52851d9db66597fb421a2b016ba447c,2.36391115566807e-7,23284.553,23309.32246,6988.4689404897,11960.6192850076,11960.6192850076,11960.6192850076,33,55,geckoterminal
2026-06-21T13:51:19.720Z,3171b33a-5677-47f6-b8d4-a1d98653bad5,1.0.0,base,0xab2f62ae7563e5c6dda70f9ba37a007d836aed8a,0xd37e9a72eb2cfd5c6ea13603dd6223442e48dc0c7a3d051cc35371d20e8e725b,5.40575069965666e-7,38412.2493,54242.94387,13015.2749434801,37990.0602469499,37990.0602469499,37990.0602469499,202,163,geckoterminal
2026-06-21T13:51:19.731Z,3171b33a-5677-47f6-b8d4-a1d98653bad5,1.0.0,base,0x5a1e9d868f387032eccc5b36bf5d1ad7d98b2ba3,0x0b544b79cbedadd3792de93db290204a1bfa358860d11d28104f5a6ecf022a2c,6.10953183939545e-7,59563.1422,75665.80801,52565.4190482873,91679.6136965436,91679.6136965436,91679.6136965436,276,429,geckoterminal
2026-06-21T13:51:20.153Z,3171b33a-5677-47f6-b8d4-a1d98653bad5,1.0.0,base,0x214926b10ef68cc2ecda051af313e49ee971dba3,0x499914b8e30c9e38c01d5a0394faf4022e4ac587de4ad13505db90398bac763e,7.606e-7,55273.31,76064,30734.76,169025.99,169025.99,169025.99,656,448,dexscreener
2026-06-21T13:53:11.353Z,46681b8b-7d44-450a-8bfa-e29b61cb6bf7,1.0.0,ethereum,0x15a991de041397b0d4aa25e8728f3a2e04f3a721,0xcaf1f1d335df31cb4bb9a3d38ded2f1a44069084,0.229230887489746,11422148.0504,22913034.6832743,0,0.1703826395,0.1703826395,0.1703826395,1,0,geckoterminal
2026-06-21T13:53:11.372Z,46681b8b-7d44-450a-8bfa-e29b61cb6bf7,1.0.0,ethereum,0x582cfc74937c41eec5f7d5038f976ae7ff156539,0x8bafc39999cadf73f26614898c2cd3109f4249c8,0.0247503695274867,11681573.4947,23433432.7112617,0,0.1728678831,0.1728678831,0.1728678831,1,0,geckoterminal
2026-06-21T13:53:11.385Z,46681b8b-7d44-450a-8bfa-e29b61cb6bf7,1.0.0,ethereum,0x1c7bfde6ecf29a056dce861bb280263d05962cbf,0x743b108ffbaf6a5304b520bbd467e03a0739e101,0.0499391527704265,11688021.2746,23446366.855164,0,0.1690904637,0.1690904637,0.1690904637,1,0,geckoterminal
2026-06-21T13:53:11.472Z,46681b8b-7d44-450a-8bfa-e29b61cb6bf7,1.0.0,base,0x96a9a03ece8b6c10421f62893f12c069970eb2c3,0x8640513299851da7e9d6b874ab07a35de5acd386,0.00000438888752631305,54404.9936,28642.2185676,534.767226,1380.3281479678,1380.3281479678,1380.3281479678,11,0,geckoterminal
2026-06-21T13:53:11.779Z,46681b8b-7d44-450a-8bfa-e29b61cb6bf7,1.0.0,base,0x953fe88bf7df747817f9c3152912d76e1119b3bf,0xf731ff69e506c62c29eb916427bac3187564acd55520d7ab37b64e76f56e5f3a,0.0000387068716723806,15185.3558,18876.1610534,1459.5030141323,4701.7362598285,4701.7362598285,4701.7362598285,40,4,geckoterminal
2026-06-21T13:53:11.792Z,46681b8b-7d44-450a-8bfa-e29b61cb6bf7,1.0.0,base,0x4ab642927e0059ecff629d45ab6f7a438cdc0448,0xeddbf536b93e281ca9c1a20204f100ccc12e4b385b1cf677a3e5a5e5ee6ea28f,0.0000378176495365554,20332.1171,37817.64954,3353.3535647037,26674.3951120453,26674.3951120453,26674.3951120453,69,22,geckoterminal
2026-06-21T13:53:11.806Z,46681b8b-7d44-450a-8bfa-e29b61cb6bf7,1.0.0,base,0x210192d9dcbd093567f3705db75b802ed0b44ba3,0x7732540122a893d5455cf798892792e4a52851d9db66597fb421a2b016ba447c,2.34155667955129e-7,23289.9276,23645.90367,3.509666285,11964.1287864143,11964.1287864143,11964.1287864143,34,56,geckoterminal
2026-06-21T13:53:11.819Z,46681b8b-7d44-450a-8bfa-e29b61cb6bf7,1.0.0,base,0xab2f62ae7563e5c6dda70f9ba37a007d836aed8a,0xd37e9a72eb2cfd5c6ea13603dd6223442e48dc0c7a3d051cc35371d20e8e725b,6.1352123597203e-7,42279.8426,61436.25475,7486.2269118201,42463.1791850908,42463.1791850908,42463.1791850908,217,189,geckoterminal
2026-06-21T13:53:12.179Z,46681b8b-7d44-450a-8bfa-e29b61cb6bf7,1.0.0,base,0x214926b10ef68cc2ecda051af313e49ee971dba3,0x499914b8e30c9e38c01d5a0394faf4022e4ac587de4ad13505db90398bac763e,9.331e-7,63350.98,93317,32103.77,183887.97,183887.97,183887.97,678,458,dexscreener
2026-06-21T13:56:15.868Z,43b2c100-5f42-448f-99f6-2f7938e6d060,1.0.0,ethereum,0x15a991de041397b0d4aa25e8728f3a2e04f3a721,0xcaf1f1d335df31cb4bb9a3d38ded2f1a44069084,0.229230887489746,11422122.0988,22913034.6832743,0,0.1703826395,0.1703826395,0.1703826395,1,0,geckoterminal
2026-06-21T13:56:15.895Z,43b2c100-5f42-448f-99f6-2f7938e6d060,1.0.0,ethereum,0x582cfc74937c41eec5f7d5038f976ae7ff156539,0x8bafc39999cadf73f26614898c2cd3109f4249c8,0.0247503695274867,11681573.4947,23433432.7112617,0,0.1728678831,0.1728678831,0.1728678831,1,0,geckoterminal
2026-06-21T13:56:15.912Z,43b2c100-5f42-448f-99f6-2f7938e6d060,1.0.0,ethereum,0x1c7bfde6ecf29a056dce861bb280263d05962cbf,0x743b108ffbaf6a5304b520bbd467e03a0739e101,0.0499391527704265,11688021.2746,23446366.855164,0,0.1690904637,0.1690904637,0.1690904637,1,0,geckoterminal
2026-06-21T13:56:17.548Z,43b2c100-5f42-448f-99f6-2f7938e6d060,1.0.0,base,0x899005293218b318108cbf165d1c1025ce41dcd3,0xa0e3370dd4c116a55782ea7de2af848609d00d44,0.00000302765261881216,52162.8487,26340.5777853,136.541767,248.9629500303,248.9629500303,248.9629500303,4,0,geckoterminal
2026-06-21T13:56:17.564Z,43b2c100-5f42-448f-99f6-2f7938e6d060,1.0.0,base,0x953fe88bf7df747817f9c3152912d76e1119b3bf,0xf731ff69e506c62c29eb916427bac3187564acd55520d7ab37b64e76f56e5f3a,0.0000925835874373142,25268.2192,43614.2723737,7653.3820531545,10895.6152988507,10895.6152988507,10895.6152988507,66,5,geckoterminal
2026-06-21T13:56:17.787Z,43b2c100-5f42-448f-99f6-2f7938e6d060,1.0.0,base,0x214926b10ef68cc2ecda051af313e49ee971dba3,0x499914b8e30c9e38c01d5a0394faf4022e4ac587de4ad13505db90398bac763e,9.252e-7,62761.43,92522,25842.71,195316.26,195316.26,195316.26,697,470,dexscreener
